T-mXWSmtgnQdKiy/9X73MD243SixA=,seagull!,????!
T-LuVHUtGa7FqNE3BXEKPMOQy9fkw=,"It's digging through your stuff, and it's likely to eat any food you didn't put in the container!","???????,?????????????????!"
T-S/uImHZ8N4tu203LXCs9/p5ibfE=,ignore it,???
T-SK0iZnRygH9JwLix1e9ycqNx/4Q=,The seagull found nothing.,?????????
T-COd+NfxU19P/4TdHpGQTg4J8E/k=,a hurricane,????
T-ONsaf9COSv3FcclxKNNYvZqGyy4=,The distance you sailed was increased?,???????????
T-H8GvxcVe2MDMKPmXFbU8rOTDcig=,continue,??
T-L30crdLC5mpzfJaSyUirhUIqnYQ=,squid attack,????
T-UBZRcRGmGLm7LSPGR9fuv3HAfmM=,The squid is attacking you!,?????????!
T-Si9IRtIc48xDFUOi1ocTf4yp2Ig=,"You can't hit me across the map, right?",??????????
T-TP8v0CHKixibcsGRzl11YobTwag=,escape,??
T-Kvv6zY01NOEN1lc78LtUnWJjZdI=,You passed the level!,????!
T-U7xpNGYiAEOp0Q4aPFBW+E7JgOk=,"Happy hometown, I'd better stay on my raft!","????,????????????!"
T-4qVRxniXgVCtDsrRNChrxSOzSLg=,stay here,????
T-Pl2niK8BCYu37rCigbgCUkSuoEY=,game over,????
T-dphQSeNJ5LNc4pokNGc43v/eLfA=,end everything,????
T-38r7XC9R72vNwSNmXFUJdHcxzTo=,You survived to the end!,??????!
T-qQ/RkbTUOMKXuT4ieo+rQgDkIx4=,Sharptooth shark attack,?????
T-n4FWEXqJacDrcG6OZ+eLV+TCEJM=,The sharp tooth shark attacks you!,??????????!
T-EDPgFXQ4wj4qpNy2Ltw66517RGE=,Discover the island!,????!
T-E/EMcoIXFAn/nlooPoxhf7M6WOY=,"It's just a very small island, maybe I should stay there for a while?","??????????,?????????????"
T-Xf1pvxi259Lw9iHYuS82lXc3eRc=,stop here,???
T-l69vqFLuwDjDHJ21Lz0WUeFK87E=,keep going,????
T-i79JXI0kWuwQBi/3eoAQhhGfLkk=,Discover the volcano!,????!
T-q5LhbKWehGExYlfWZMuOPpNb/Ig=,"That's a dormant volcano, maybe I should spend some time there?","?????????,?????????????"
T-RnqMLq6+7EKTdRUstkfOQBvlGHM=,Map exploration completed,??????
T-vDZrfLfwMUcwrWQ3IPC8SPqmze8=,I feel like I’ve found all the places to explore in this area.,?????????????????????
T-eVC3v5K09cGYkI5sltEp1KeJBcU=,great white shark attack,?????
T-fnUl7ii7Ifsj7LNtdD0A5zzZUgU=,The great white shark attacks you!,??????????!
T-or3Dz3Zq9eBDbOd0nXfS+XdnOsA=,Baby octopus attack,?????
T-HDbNTkcwXDZ4nZzQdvyZM+5mxQE=,The little octopus attacks you!,??????????!
T-t4k0RSnj9XUb2IOxQUpoiRcw0hE=,giant octopus attack,??????
T-qn7wIeHQRFreAAJia2Ho/QlZkj8=,The giant octopus attacks you!,???????????!
T-p5Ok7KJC3KbI9bqird2Oq7tWTUE=,giant tentacle attack,??????
T-Cw+WYm0XyH7FjR2vruIj/XFDCsw=,Giant tentacles attack you!,???????????!
T-cstsgP5rdaSh8JbkBsSfhSQfcX8=,Huge waves hit,????
T-9AvIR5fpLws/eRFyEhyakWEEtu8=,A huge wave destroys your raft.,??????????
